id,restr_name,food_ctg,addr,code
292,천하식당,한식,서울 동대문구 왕산로 122,1884877843
293,체리,유흥주점,경기 광명시 오리로856번길 13 센타빌딩,37476773
294,소메르,한식,경기 고양시 일산서구 중앙로 1456,13097805
295,JoshuaTreeCoffee,"카페,디저트",경기 안산시 상록구 오목로 97 1층,1180988052
296,유이요거트,"카페,디저트",서울 용산구 청파로45길 39,1286884697
297,미가,한식,서울 마포구 숭문길 47,1706452151
298,신천안문중화요리,중식당,"경기 동두천시 어수로 114 주1동 4, 5호",38506640
299,이디야 당산중앙점,카페,서울 영등포구 당산로 159 1층,38303839
300,깐튀남 강남점,"치킨,닭강정",서울 강남구 논현로 552,1350401389
301,돈뼈락감자탕뼈짬뽕오남진접본점,감자탕,경기 남양주시 오남읍 진건오남로 786 1층,1240021928
302,성쌍만두집,"칼국수,만두",경기 군포시 군포로544번길 22,1849590910
303,프랑스바게트,베이커리,경기 수원시 권선구 수성로 47,1541602391
304,김삿갓전통찻집,차,경기 양주시 외미로 117-8,21701147
305,금상첨화,오리요리,경기 양주시 평화로1479번길 12 2층 금상첨화,20016548
306,도담순대국,"순대,순댓국",경기 성남시 중원구 산성대로476번길 3 도담순대국,1323232563
307,라운지탐탐 수원화성행궁점,"카페,디저트",경기 수원시 팔달구 정조로 820 2층,1038754432
308,신의한국수 고양원흥점,국수,경기 고양시 덕양구 삼원로 73 105호 신의한국수 고양원흥점,1754006561
309,벤티프레소 길동역점,카페,서울 강동구 양재대로 1466 1층 벤티프레소,1787027530
310,소호정 대치점,국수,서울 강남구 역삼로81길 8,31259558
311,일미리금계찜닭 당산역 SK V1 센터점,찜닭,서울 영등포구 당산로41길 11 113호,1506728603
312,묵은지찜나라 2호점,한식,서울 영등포구 영신로24길 18-1,1116174210
313,비프트래커,소고기구이,인천 중구 우현로83번길 17,1909124373
314,와다닥춘천숯불닭갈비,닭갈비,경기 광명시 오리로 998-2 1층,37489275
315,도회푸드 건강한쌈 오산점,한식,경기 오산시 세마역로19번길 26-1 1층,1185137969
316,불당호치민,베트남음식,충남 천안시 서북구 불당16길 27-2,1113885796
317,스시하랑,"초밥,롤",서울 구로구 디지털로31길 53 1층 105호,1306942681
